Instance,Greedy Basic,Greedy Advanced,VNS Basic,VNS Advanced,Hybrid Advanced
instance_xlarge_10_multiple_duplicates.txt,0.0,1756.5,104.5,1768.5,1768.5
instance_xlarge_10_one_duplicate.txt,0.0,1836.5,76.5,1840.5,1840.5
instance_xlarge_10_random.txt,0.0,1820.5,64.5,1836.5,1832.5
instance_xlarge_1_mixed.txt,0.0,1836.5,76.5,1836.5,1836.5
instance_xlarge_1_multiple_duplicates.txt,0.0,1816.5,76.5,1832.5,1828.5
instance_xlarge_1_one_duplicate.txt,0.0,1812.5,56.5,1828.5,1828.5
instance_xlarge_1_random.txt,0.0,1860.5,40.5,1864.5,1868.5
instance_xlarge_2_mixed.txt,0.0,1828.5,108.5,1836.5,1836.5
instance_xlarge_2_multiple_duplicates.txt,0.0,1768.5,76.5,1788.5,1788.5
instance_xlarge_2_one_duplicate.txt,0.0,1800.5,96.5,1804.5,1808.5
instance_xlarge_2_random.txt,0.0,1808.5,104.5,1816.5,1828.5
instance_xlarge_3_mixed.txt,0.0,1800.5,44.5,1816.5,1812.5
instance_xlarge_3_multiple_duplicates.txt,0.0,1820.5,132.5,1844.5,1844.5
instance_xlarge_3_one_duplicate.txt,0.0,1816.5,52.5,1828.5,1828.5
instance_xlarge_3_random.txt,0.0,1800.5,76.5,1804.5,1804.5
instance_xlarge_4_mixed.txt,0.0,1760.5,112.5,1768.5,1772.5
instance_xlarge_4_multiple_duplicates.txt,0.0,1840.5,60.5,1844.5,1844.5
instance_xlarge_4_one_duplicate.txt,0.0,1796.5,72.5,1804.5,1800.5
instance_xlarge_4_random.txt,0.0,1804.5,100.5,1804.5,1804.5
instance_xlarge_5_mixed.txt,0.0,1764.5,100.5,1772.5,1780.5
instance_xlarge_5_multiple_duplicates.txt,0.0,1824.5,116.5,1832.5,1828.5
instance_xlarge_5_one_duplicate.txt,0.0,1776.5,84.5,1784.5,1776.5
instance_xlarge_5_random.txt,0.0,1808.5,72.5,1808.5,1808.5
instance_xlarge_6_mixed.txt,0.0,1792.5,72.5,1820.5,1816.5
instance_xlarge_6_multiple_duplicates.txt,0.0,1816.5,80.5,1824.5,1824.5
instance_xlarge_6_one_duplicate.txt,0.0,1812.5,104.5,1824.5,1816.5
instance_xlarge_6_random.txt,0.0,1764.5,80.5,1792.5,1776.5
instance_xlarge_7_mixed.txt,0.0,1804.5,104.5,1820.5,1828.5
instance_xlarge_7_multiple_duplicates.txt,0.0,1816.5,124.5,1832.5,1824.5
instance_xlarge_7_one_duplicate.txt,0.0,1780.5,88.5,1796.5,1804.5
instance_xlarge_7_random.txt,0.0,1804.5,96.5,1816.5,1816.5
instance_xlarge_8_mixed.txt,0.0,1776.5,68.5,1792.5,1796.5
instance_xlarge_8_multiple_duplicates.txt,0.0,1792.5,104.5,1804.5,1812.5
instance_xlarge_8_one_duplicate.txt,0.0,1788.5,56.5,1792.5,1796.5
instance_xlarge_8_random.txt,0.0,1844.5,28.5,1852.5,1848.5
instance_xlarge_9_mixed.txt,0.0,1780.5,120.5,1792.5,1792.5
instance_xlarge_9_multiple_duplicates.txt,0.0,1800.5,60.5,1808.5,1808.5
instance_xlarge_9_one_duplicate.txt,0.0,1804.5,68.5,1820.5,1816.5
instance_xlarge_9_random.txt,0.0,1796.5,100.5,1800.5,1804.5
